line,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
1,4,21,27,35,50,3,4
2,4,21,27,35,50,3,5
3,4,21,27,35,50,3,7
4,4,21,27,35,50,3,8
5,4,21,27,35,50,3,9
6,4,21,27,35,50,4,5
7,4,21,27,35,50,4,7
8,4,21,27,35,50,4,8
9,4,21,27,35,50,4,9
10,4,21,27,35,50,5,7
11,4,21,27,35,50,5,8
12,4,21,27,35,50,5,9
13,4,21,27,35,50,7,8
14,4,21,27,35,50,7,9
15,4,21,27,35,50,8,9
16,4,21,28,37,42,3,4
17,4,21,28,37,42,3,5
18,4,21,28,37,42,3,7
19,4,21,28,37,42,3,8
20,4,21,28,37,42,3,9
21,4,21,28,37,42,4,5
22,4,21,28,37,42,4,7
23,4,21,28,37,42,4,8
24,4,21,28,37,42,4,9
25,4,21,28,37,42,5,7
26,4,21,28,37,42,5,8
27,4,21,28,37,42,5,9
28,4,21,28,37,42,7,8
29,4,21,28,37,42,7,9
30,4,21,28,37,42,8,9
31,4,21,36,44,48,3,4
32,4,21,36,44,48,3,5
33,4,21,36,44,48,3,7
34,4,21,36,44,48,3,8
35,4,21,36,44,48,3,9
36,4,21,36,44,48,4,5
37,4,21,36,44,48,4,7
38,4,21,36,44,48,4,8
39,4,21,36,44,48,4,9
40,4,21,36,44,48,5,7
41,4,21,36,44,48,5,8
42,4,21,36,44,48,5,9
43,4,21,36,44,48,7,8
44,4,21,36,44,48,7,9
45,4,21,36,44,48,8,9
46,4,25,37,44,48,3,4
47,4,25,37,44,48,3,5
48,4,25,37,44,48,3,7
49,4,25,37,44,48,3,8
50,4,25,37,44,48,3,9
51,4,25,37,44,48,4,5
52,4,25,37,44,48,4,7
53,4,25,37,44,48,4,8
54,4,25,37,44,48,4,9
55,4,25,37,44,48,5,7
56,4,25,37,44,48,5,8
57,4,25,37,44,48,5,9
58,4,25,37,44,48,7,8
59,4,25,37,44,48,7,9
60,4,25,37,44,48,8,9
61,21,25,28,35,50,3,4
62,21,25,28,35,50,3,5
63,21,25,28,35,50,3,7
64,21,25,28,35,50,3,8
65,21,25,28,35,50,3,9
66,21,25,28,35,50,4,5
67,21,25,28,35,50,4,7
68,21,25,28,35,50,4,8
69,21,25,28,35,50,4,9
70,21,25,28,35,50,5,7
71,21,25,28,35,50,5,8
72,21,25,28,35,50,5,9
73,21,25,28,35,50,7,8
74,21,25,28,35,50,7,9
75,21,25,28,35,50,8,9
76,25,27,28,36,42,3,4
77,25,27,28,36,42,3,5
78,25,27,28,36,42,3,7
79,25,27,28,36,42,3,8
80,25,27,28,36,42,3,9
81,25,27,28,36,42,4,5
82,25,27,28,36,42,4,7
83,25,27,28,36,42,4,8
84,25,27,28,36,42,4,9
85,25,27,28,36,42,5,7
86,25,27,28,36,42,5,8
87,25,27,28,36,42,5,9
88,25,27,28,36,42,7,8
89,25,27,28,36,42,7,9
90,25,27,28,36,42,8,9
91,27,28,37,44,48,3,4
92,27,28,37,44,48,3,5
93,27,28,37,44,48,3,7
94,27,28,37,44,48,3,8
95,27,28,37,44,48,3,9
96,27,28,37,44,48,4,5
97,27,28,37,44,48,4,7
98,27,28,37,44,48,4,8
99,27,28,37,44,48,4,9
100,27,28,37,44,48,5,7
101,27,28,37,44,48,5,8
102,27,28,37,44,48,5,9
103,27,28,37,44,48,7,8
104,27,28,37,44,48,7,9
105,27,28,37,44,48,8,9
106,28,35,36,37,50,3,4
107,28,35,36,37,50,3,5
108,28,35,36,37,50,3,7
109,28,35,36,37,50,3,8
110,28,35,36,37,50,3,9
111,28,35,36,37,50,4,5
112,28,35,36,37,50,4,7
113,28,35,36,37,50,4,8
114,28,35,36,37,50,4,9
115,28,35,36,37,50,5,7
116,28,35,36,37,50,5,8
117,28,35,36,37,50,5,9
118,28,35,36,37,50,7,8
119,28,35,36,37,50,7,9
120,28,35,36,37,50,8,9
121,35,42,44,48,50,3,4
122,35,42,44,48,50,3,5
123,35,42,44,48,50,3,7
124,35,42,44,48,50,3,8
125,35,42,44,48,50,3,9
126,35,42,44,48,50,4,5
127,35,42,44,48,50,4,7
128,35,42,44,48,50,4,8
129,35,42,44,48,50,4,9
130,35,42,44,48,50,5,7
131,35,42,44,48,50,5,8
132,35,42,44,48,50,5,9
133,35,42,44,48,50,7,8
134,35,42,44,48,50,7,9
135,35,42,44,48,50,8,9
