line,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
1,4,21,27,35,50,3,5
2,4,21,27,35,50,3,7
3,4,21,27,35,50,3,9
4,4,21,27,35,50,5,7
5,4,21,27,35,50,5,9
6,4,21,27,35,50,7,9
7,4,21,28,37,42,3,5
8,4,21,28,37,42,3,7
9,4,21,28,37,42,3,9
10,4,21,28,37,42,5,7
11,4,21,28,37,42,5,9
12,4,21,28,37,42,7,9
13,4,21,36,44,48,3,5
14,4,21,36,44,48,3,7
15,4,21,36,44,48,3,9
16,4,21,36,44,48,5,7
17,4,21,36,44,48,5,9
18,4,21,36,44,48,7,9
19,4,25,37,44,48,3,5
20,4,25,37,44,48,3,7
21,4,25,37,44,48,3,9
22,4,25,37,44,48,5,7
23,4,25,37,44,48,5,9
24,4,25,37,44,48,7,9
25,21,25,28,35,50,3,5
26,21,25,28,35,50,3,7
27,21,25,28,35,50,3,9
28,21,25,28,35,50,5,7
29,21,25,28,35,50,5,9
30,21,25,28,35,50,7,9
31,25,27,28,36,42,3,5
32,25,27,28,36,42,3,7
33,25,27,28,36,42,3,9
34,25,27,28,36,42,5,7
35,25,27,28,36,42,5,9
36,25,27,28,36,42,7,9
37,27,28,37,44,48,3,5
38,27,28,37,44,48,3,7
39,27,28,37,44,48,3,9
40,27,28,37,44,48,5,7
41,27,28,37,44,48,5,9
42,27,28,37,44,48,7,9
43,28,35,36,37,50,3,5
44,28,35,36,37,50,3,7
45,28,35,36,37,50,3,9
46,28,35,36,37,50,5,7
47,28,35,36,37,50,5,9
48,28,35,36,37,50,7,9
49,35,42,44,48,50,3,5
50,35,42,44,48,50,3,7
51,35,42,44,48,50,3,9
52,35,42,44,48,50,5,7
53,35,42,44,48,50,5,9
54,35,42,44,48,50,7,9
